question,option 1,option 2,option 3,option 4,answer,explanation,category,option 5
"Can a UE disable use of one or more of its radio technologies, regardless of PLMNs? [3GPP Release 18]",Yes,No,,,option 1: Yes,"A UE can disable use of one or more of its radio technologies, regardless of PLMNs.",Standards specifications,
What capability does the management service producer responsible for PEE fault supervision have? [3GPP Release 18],Collection of PEE measurement data,Modification of PEE related parameters,Notification of PEE related alarms,Sending DV performance data streams,option 3: Notification of PEE related alarms,The management service producer responsible for PEE fault supervision has the capability to notify its authorized consumer in case of PEE related alarms.,Standards specifications,Querying ongoing collection of DV measurement data
What determines if an IAB-DU cell can transmit or receive on a symbol configured as a soft type? [3GPP Release 17],IAB-DU cell's configuration of hard or unavailable symbols,Availability of soft symbols in the slot,Detection of DCI format 2_5 with an AI index field value,Configuration of RB set availability by Frequency-Domain HSNA Configuration List,option 2: Availability of soft symbols in the slot,The IAB-DU cell can transmit or receive on a symbol configured as a soft type only if the IAB-MT does not transmit or receive during that symbol and there is availability of soft symbols in the slot.,Standards specifications,
What are the three factors that govern the PDCCH monitoring activity of the UE in RRC connected mode? [3GPP Release 17],"DRX, BA, and DCP","BA, DCP, and CA","DRX, DCP, and CA","DRX, BA, and CA","option 5: DRX, BA, and DCP","The PDCCH monitoring activity of the UE in RRC connected mode is governed by DRX, BA, and DCP.",Standards specifications,"DRX, BA, and DCP"
Which of the following situations can lead to the MS being unable to obtain normal service from a PLMN or SNPN? [3GPP Release 18],Failure to find a suitable cell of the selected PLMN or SNPN,No SIM in the MS,A PLMN not allowed response in case of PLMN,An illegal ME response when an LR is received,option 1: Failure to find a suitable cell of the selected PLMN or SNPN,The inability to find a suitable cell of the selected PLMN or SNPN can result in the MS being unable to obtain normal service.,Standards specifications,MS supporting CAG is camped on a CAG cell
What does a UE configure when provided with UplinkCancellation? [3GPP Release 17],Search space sets for monitoring the first PDCCH candidate,Set of serving cell indexes and corresponding locations for fields in DCI format 2_4,Number of fields in DCI format 2_4 for each serving cell,All of the above,option 4: All of the above,"When provided with UplinkCancellation, a UE configures search space sets for monitoring the first PDCCH candidate, a set of serving cell indexes and corresponding locations for fields in DCI format 2_4, and a number of fields in DCI format 2_4 for each serving cell.",Standards specifications,None of the above
Under what circumstances would it be desirable to prevent UE users from making access attempts or responding to pages in specified areas of a PLMN? [3GPP Release 18],During normal operating conditions,During states of emergency or when one or more co-located PLMNs have failed,When the access channel is overloaded,When the serving network is UTRAN,option 2: During states of emergency or when one or more co-located PLMNs have failed,Access control is desirable during states of emergency or when one or more co-located PLMNs have failed.,Standards specifications,When broadcast messages are unavailable
Which specification introduced the mechanism to support single radio voice call continuity (SRVCC) from 5GS to UTRAN? [3GPP Release 16],TS 26.959,TS 36.331,TS 23.756,TS 22.115,option 3: TS 23.756,The mechanism to support single radio voice call continuity (SRVCC) from 5GS to UTRAN was introduced in TS 23.756.,Standards overview,TS 26.114
Which logical channel can be mapped to DL-SCH in the downlink? [3GPP Release 18],BCCH,PCCH,CCCH,All of the above,option 4: All of the above,"The BCCH, PCCH, CCCH, and DCCH logical channels can all be mapped to DL-SCH in the downlink.",Standards specifications,
What is the periodicity of half frames with SS/PBCH blocks for initial cell selection in an IAB-MT? [3GPP Release 17],4 frames,8 frames,12 frames,16 frames,option 4: 16 frames,An IAB-MT may assume that half frames with SS/PBCH blocks occur with a periodicity of 16 frames for initial cell selection.,Standards specifications,
What is the role of the serving core network operator in a shared network? [3GPP Release 17],To conditionally accept handover requests,To broadcast multiple PLMN-id lists,To determine the operator selected by a supporting UE,To allocate the core network operator to a non-supporting UE,option 5: To allocate the core network operator to any UE in a shared network,The serving core network operator in a shared network is responsible for allocating the core network operator to any UE in the shared network.,Standards specifications,To allocate the core network operator to any UE in a shared network
Which state supports QoE measurement reporting in UMTS networks? [3GPP Release 14],CELL_FACH state,CELL_DCH state,CELL_PCH state,CELL_FDD state,option 2: CELL_DCH state,QoE measurement reporting is supported in the CELL_DCH state only.,Standards specifications,
What does the Allowed Delay parameter indicate? [3GPP Release 18],The time interval for provisioning PFDs to SMFs,The authorization status of the AF,The list of PFDs in the request,The operator policies for PFD provisioning,option 1: The time interval for provisioning PFDs to SMFs,"If the Allowed Delay is included, it indicates that the list of PFDs in this request should be provisioned within the time interval indicated by the Allowed Delay to the SMF(s) that have subscribed to the PFD management service.",Standards specifications,
Which aspect is not covered by the flexible network operations in 5G? [3GPP Release 15],Network slicing,Network capability exposure,Migration and interworking,Efficient content delivery,option 4: Efficient content delivery,Efficient content delivery is not covered by the flexible network operations in 5G.,Standards overview,Scalability and diverse mobility
What procedure is followed to estimate the energy consumption of VNF/VNFCs based on the vCPU usage of virtual compute resources? [3GPP Release 18],Collect PEE measurements from NFVI nodes,Collect vCPU usage of virtual compute resources from VIM,Collect vCPU usage of virtual compute resources from VNFM,Collect vCPU usage of virtual compute resources from VNF/VNFC instances,option 2: Collect vCPU usage of virtual compute resources from VIM,The procedure followed to estimate the energy consumption of VNF/VNFCs based on the vCPU usage of virtual compute resources includes collecting vCPU usage of virtual compute resources from the VIM.,Standards specifications,
When can the target UE authorize positioning attempts? [3GPP Release 17],Before the target UE is positioned,After the target UE is notified of a positioning request,Before reporting the location to the LCS Client,All of the above,option 4: All of the above,"The target UE can authorize positioning attempts before being positioned, after being notified of a positioning request, and before reporting the location to the LCS Client.",Standards specifications,
What does the Un interface in E-UTRAN support? [3GPP Release 17],Relaying between the RN and the DeNB,S1 and X2 user plane aspects,S1 and X2 control plane aspects,Radio protocol aspects,option 1: Relaying between the RN and the DeNB,The Un interface supports relaying between the RN and the DeNB.,Standards specifications,The termination of the E-UTRA radio protocols
What is the purpose of ciphering in NR connected to 5GC security? [3GPP Release 18],Ensures physical protection of data handling,Provides user data integrity protection,Provides signaling data confidentiality,Provides signaling data integrity protection,option 5: Provides user data confidentiality,Ciphering in NR connected to 5GC security provides user data confidentiality.,Standards specifications,Provides user data confidentiality
What is the purpose of the Single link polarization measurement? [3GPP Release 18],To calculate the CDF of the EIRP/EIS distribution in 3D,To determine the total power radiated by the DUT in the TX beam peak direction,To determine the RX beam peak direction,To measure the EIRP spherical coverage,option 5: To reduce the test time for the FR2 2Tx test cases,The Single link polarization measurement is used to reduce the test time for the FR2 2Tx test cases.,Standards specifications,To reduce the test time for the FR2 2Tx test cases
What type of link adaptation is performed in uplink transmission? [3GPP Release 17],Adaptive transmission bandwidth,Transmission power control,Adaptive modulation and channel coding rate,All of the above,option 4: All of the above,"Three types of link adaptation are performed in uplink transmission: adaptive transmission bandwidth, transmission power control, and adaptive modulation and channel coding rate.",Standards specifications,None of the above
Which charging architecture is used for 5G Data Connectivity in Phase 1 of the 5G System Architecture? [3GPP Release 18],NG-RAN,CHF,SMF,Nchf,option 4: Nchf,The 5G Data Connectivity in Phase 1 of the 5G System Architecture uses the Nchf charging architecture.,Standards specifications,None of the above
What is the purpose of the Ndccf_DataManagement_Subscribe service operation? [3GPP Release 18],To subscribe to receive data or analytics via the DCCF,To unsubscribe from receiving data or analytics via the DCCF,To notify the DCCF about the requested data or analytics,To fetch data or analytics from the DCCF,option 1: To subscribe to receive data or analytics via the DCCF,Ndccf_DataManagement_Subscribe service operation is used for subscribing to receive data or analytics via the DCCF.,Standards specifications,
What power value is recommended for loop convergence / time-frequency tracking in the IDLE/INACTIVE state? [3GPP Release 16],Depends on the measurement window,Higher than SSB processing power value,Lower than SSB processing power value,Not specified,option 5: Same as SSB processing power value,The power value for loop convergence / time-frequency tracking is the same as SSB processing in the IDLE/INACTIVE state.,Standards specifications,Same as SSB processing power value
What is the purpose of exposing network capabilities to third-party ISPs/ICPs? [3GPP Release 17],To customize a dedicated physical or virtual network for diverse use cases,To improve user experience and utilize backhaul and application resources efficiently,"To provide suitable APIs to create, modify, and delete network slices",To monitor the network slice used for the third-party,option 1: To customize a dedicated physical or virtual network for diverse use cases,Exposing network capabilities to third-party ISPs/ICPs allows them to customize a dedicated physical or virtual network for diverse use cases.,Standards specifications,To configure the information which associates a UE to a network slice used for the third-party
Which of the following is not a feature that can be calibrated? [3GPP Release 18],Oxygen absorption,Large bandwidth and large antenna array,Spatial consistency,Blockage,option 5: Fast fading modeling,Fast fading modeling is not one of the features that can be calibrated.,Standards specifications,Fast fading modeling
Can the visited network offer additional services or access to content providers? [3GPP Release 18],Yes,No,Dependent on the subscription options in the home environment,Restricted by the capabilities of the visited network,option 1: Yes,The document states that the visited network can offer additional services or access to content providers.,Standards specifications,Restricted by the roaming agreement between the home and visited environment
What is the purpose of the 3GPP management system interacting with NWDAF? [3GPP Release 17],To address the slow control loop with broad management scope,To establish a connection for management data streaming,To enable the management service producer to invoke operations,To request a subscription to notifications and receive network events,option 1: To address the slow control loop with broad management scope,The purpose of the 3GPP management system interacting with NWDAF is to address the slow control loop with a broad management scope.,Standards specifications,To authenticate the management service consumer
What is the purpose of SCC AS Restoration in IMS? [3GPP Release 14],To provide continuity of service for incoming session requests in IMS,To ensure Single Radio Voice Call Continuity (SRVCC) in IMS,To store extra SRVCC related information in the HSS,All of the above,option 4: All of the above,"The purpose of SCC AS Restoration in IMS is to provide continuity of service for incoming session requests, ensure SRVCC between different radio access networks, and store extra SRVCC related information in the HSS.",Standards specifications,None of the above
How is the value for the bit in the paging indication field determined? [3GPP Release 17],By subgroup index,By paging occasion index,By TRS availability indication field,By validity duration,option 2: By paging occasion index,The value for the bit in the paging indication field is determined by the paging occasion index.,Standards specifications,By multiple of the number of frames
When does the UE monitor PDCCH skipping duration? [3GPP Release 17],During measurement gaps,During cross-slot scheduling,During PDCCH monitoring adaptation mechanisms,During the on-duration,option 3: During PDCCH monitoring adaptation mechanisms,The UE monitors the PDCCH skipping duration during PDCCH monitoring adaptation mechanisms.,Standards specifications,During BWP switching
What is the composite antenna composed of? [3GPP Release 18],Transceiver unit array,Radio distribution network,Antenna array,Satellite payload,option 3: Antenna array,The composite antenna contains a radio distribution network (RDN) and an antenna array.,Standards specifications,
What range of transport block sizes can a Category NB2 UE support? [3GPP Release 14],2536 bits on both DL and UL,680 bits on DL and 1000 bits on UL,2000 bits on both DL and UL,1000 bits on DL and 500 bits on UL,option 1: 2536 bits on both DL and UL,"A Category NB2 UE can support a maximum of 2536 bits on both DL and UL, allowing for larger message transfers in more favorable coverage.",Standards overview,1500 bits on DL and 800 bits on UL
What can a 3rd party service provider request regarding data sessions with UEs? [3GPP Release 18],Request specified QoS and priority handling,Request data sessions with low latency or jitter,"Both request specified QoS and priority handling, and request data sessions with low latency or jitter",None of the above,"option 3: Both request specified QoS and priority handling, and request data sessions with low latency or jitter","A 3rd party service provider can request specified QoS and priority handling for data sessions with UEs, including low latency or jitter.",Standards specifications,
What are the two deployment scenarios considered for OAM support in LSA? [3GPP Release 14],Deployment scenario 1: The LSA controller communicates LSA spectrum resource availability information (LSRAI) received from the LR to the NM. Deployment scenario 2: The LSA controller performs planning decisions based on the LSRAI received from the LR internally and communicates the calculated constraints on configuration attributes to the NM.,Deployment scenario 1: The LSA controller communicates LSA spectrum resource availability information (LSRAI) received from the NM to the LR. Deployment scenario 2: The LSA controller performs planning decisions based on the LSRAI received from the LR internally and communicates the calculated constraints on configuration attributes to the NM.,Deployment scenario 1: The LSA controller communicates LSA spectrum resource availability information (LSRAI) received from the LR to the NM. Deployment scenario 2: The LSA controller performs planning decisions based on the LSRAI received from the NM internally and communicates the calculated constraints on configuration attributes to the LR.,Deployment scenario 1: The LSA controller communicates LSA spectrum resource availability information (LSRAI) received from the NM to the LR. Deployment scenario 2: The LSA controller performs planning decisions based on the LSRAI received from the NM internally and communicates the calculated constraints on configuration attributes to the LR.,option 1: Deployment scenario 1: The LSA controller communicates LSA spectrum resource availability information (LSRAI) received from the LR to the NM. Deployment scenario 2: The LSA controller performs planning decisions based on the LSRAI received from the LR internally and communicates the calculated constraints on configuration attributes to the NM.,"Two deployment scenarios are considered for OAM support in LSA: Deployment scenario 1 involves the LSA controller communicating LSRAI received from the LR to the NM, while Deployment scenario 2 involves the LSA controller using the LSRAI internally to make planning decisions and communicate calculated constraints to the NM.",Standards specifications,Deployment scenario 1: The LSA controller communicates LSA spectrum resource availability information (LSRAI) received from the NM to the NM. Deployment scenario 2: The LSA controller performs planning decisions based on the LSRAI received from the LR internally and communicates the calculated constraints on configuration attributes to the NM.
What are the three types of bearer options in Dual Connectivity? [3GPP Release 17],"MCG bearer, SCG bearer, and split bearer","Primary bearer, secondary bearer, and tertiary bearer","Single bearer, multiple bearer, and aggregated bearer","Control bearer, user bearer, and management bearer","option 1: MCG bearer, SCG bearer, and split bearer","The three types of bearer options in Dual Connectivity are MCG bearer, SCG bearer, and split bearer.",Standards specifications,
Which physical channel carries Hybrid ARQ ACK/NAKs in response to uplink transmissions? [3GPP Release 17],PCFICH,PHICH,PUCCH,PDSCH,option 2: PHICH,The Physical Hybrid ARQ Indicator Channel (PHICH) carries Hybrid ARQ ACK/NAKs in response to uplink transmissions.,Standards specifications,
Which communication pattern is suitable for event-driven actions? [3GPP Release 19],Deterministic periodic communication,Deterministic aperiodic communication,Non-deterministic communication,Mixed traffic,option 2: Deterministic aperiodic communication,Deterministic aperiodic communication is suitable for event-driven actions.,Standards specifications,Closed-loop control
Which of the following is NOT a requirement for the 5G system to support direct device connection? [3GPP Release 19],Supporting direct device connection using different spectrum than 5GC-based communication,Supporting direct device connection for 5G LAN-type private communication,Supporting direct device connection for periodic deterministic communication,Supporting direct device connection for UEs up to 100 m distance,option 4: Supporting direct device connection for UEs up to 100 m distance,"The 5G system needs to support direct device connection for UEs up to 50 m distance, not 100 m.",Standards specifications,Supporting multicast communication between UEs using direct device connection
How does Indirect 3GPP Communication impact power consumption? [3GPP Release 17],It increases power consumption,It decreases power consumption,It has no impact on power consumption,It depends on the PLMN configuration,option 2: It decreases power consumption,The use of Indirect 3GPP Communication typically leads to a decrease in power consumption compared to direct communication for the same traffic.,Standards specifications,
What is the definition of a RedCap UE? [3GPP Release 17],"A UE with reduced capability, supporting a maximum bandwidth of 20 MHz for FR1 and 100 MHz for FR2, and limited features and capabilities.","A UE with enhanced capability, supporting a maximum bandwidth of 100 MHz for FR1 and 800 MHz for FR2, and advanced features and capabilities.","A UE with standard capability, supporting a maximum bandwidth of 100 MHz for FR1 and 100 MHz for FR2, and basic features and capabilities.","A UE with specialized capability, supporting a maximum bandwidth of 20 MHz for FR1 and 20 MHz for FR2, and niche features and capabilities.","option 1: A UE with reduced capability, supporting a maximum bandwidth of 20 MHz for FR1 and 100 MHz for FR2, and limited features and capabilities.","A RedCap UE is characterized by its reduced capability, including limitations on bandwidth and supported features.",Standards specifications,"A UE with advanced capability, supporting a maximum bandwidth of 1000 MHz for FR1 and 1000 MHz for FR2, and cutting-edge features and capabilities."
What is the primary purpose of MPS for DTS? [3GPP Release 18],To provide priority voice communication sessions in periods of severe network congestion,To provide priority video communication sessions in periods of severe network congestion,To provide priority data transport service in periods of severe network congestion,To provide priority access to enterprise networks in periods of severe network congestion,option 3: To provide priority data transport service in periods of severe network congestion,"MPS for Data Transport Service (DTS) is a generic priority packet transport service that applies independently of the specific data application being used. It is a specific example of Priority Data Bearer Service described in clause 5.4a. MPS for DTS provides the Service User with priority for applications using the default bearer upon request (in the case of EPS), or QoS flow associated with the default QoS rule upon request (in the case of 5GS), to one or more selected active Packet Data Networks (PDNs)/Data Networks (DNs), in periods of severe network congestion during which normal commercial data service is degraded.",Standards specifications,
What does the uplink rate control function in the UE manage? [3GPP Release 18],The sharing of uplink resources between logical channels,The allocation of physical layer resources for the uplink and the downlink,The coordination of TDM and FDM cell resources between MAC in the gNB and the corresponding entity in the ng-eNB,The support for power-aware packet scheduling,option 1: The sharing of uplink resources between logical channels,The uplink rate control function in the UE manages the sharing of uplink resources between logical channels.,Standards specifications,The support for QoS-aware packet scheduling
What is included in the UE CONTEXT SETUP REQUEST message in the Intra-CU topology adaptation procedure in SA? [3GPP Release 17],Full configuration information,MeasurementReport message,UL RRC MESSAGE TRANSFER message,HandoverPreparationInformation,option 5: CG-ConfigInfo,"Step 5 of the procedure states that the UE CONTEXT SETUP REQUEST message is sent to the candidate gNB-DU, and includes a CG-ConfigInfo.",Standards specifications,CG-ConfigInfo
"In case of 15 kHz sub-carrier spacing, how many cyclic-prefix lengths are there? [3GPP Release 17]",1,2,3,4,option 2: 2,"In case of 15 kHz sub-carrier spacing, there are two cyclic-prefix lengths - normal cyclic prefix and extended cyclic prefix.",Standards specifications,5
What is the duration called that the UE waits for after waking up to receive PDCCHs? [3GPP Release 17],Cycle,Active-time,On-duration,Inactivity-timer,option 3: On-duration,The duration that the UE waits for after waking up to receive PDCCHs is called the on-duration.,Standards specifications,Retransmission-timer
What information is provided by the SMF to the UPF during the N4 Session Establishment procedure? [3GPP Release 18],N4 Session ID,PDU Session information,Structured control information,Usage report,option 3: Structured control information,The SMF sends an N4 session establishment request message that contains the structured control information to the UPF during the N4 Session Establishment procedure.,Standards specifications,TSC management information
Which services apply to UEs using mobile 3GPP access for IMS Multimedia Telephony? [3GPP Release 17],Originating Identification Restriction (OIR),Communication Waiting (CW),Communication Barring (CB),Message Waiting Indication (MWI),option 5: All of the above,These services apply to UEs using mobile 3GPP access for IMS Multimedia Telephony.,Standards specifications,All of the above
What does the RAN visible QoE measurement function do in a split gNB architecture? [3GPP Release 17],Resolves RACH configuration conflict.,Manages cross-link interference in non-split gNB architecture.,Supports radio access network sharing.,Facilitates consolidation of Remote Interference Management (RIM) information.,option 5: May forward the RAN visible QoE measurement report from the UE to the gNB-DU.,"In a split gNB architecture, the gNB-CU may forward the RAN visible QoE measurement report from the UE to the gNB-DU.",Standards specifications,May forward the RAN visible QoE measurement report from the UE to the gNB-DU.
What does a UE expect when receiving a DCI format with a BWP indicator field indicating an active UL BWP or DL BWP change? [3GPP Release 17],To receive or transmit in the cell during a time duration specified by a delay,To receive or transmit in the cell only in the first slot of a set of slots for the DL SCS,To detect the DCI format within the first 3 symbols of a slot,To monitor PDCCH during RRM measurements,option 1: To receive or transmit in the cell during a time duration specified by a delay,"When a UE detects a DCI format indicating an active UL BWP or DL BWP change, it is not required to receive or transmit in the cell during a time duration specified by a delay.",Standards specifications,
What is the required input for the Ndccf_ContextManagement_Update service operation? [3GPP Release 18],Service Operation,Subscription Correlation ID,Notification Correlation ID,Transaction Reference ID(s),option 4: Transaction Reference ID(s),The required input for the Ndccf_ContextManagement_Update service operation is the Transaction Reference ID(s).,Standards specifications,
Which legacy service is not supported by the 5G system? [3GPP Release 17],Voice service continuity from UTRAN to NG-RAN,CS fallback from NG-RAN to GERAN,Seamless handover between NG-RAN and UTRAN,Access to a 5G core network via GERAN,option 4: Access to a 5G core network via GERAN,Access to a 5G core network via GERAN is not supported by the 5G system.,Standards specifications,
What is the purpose of the UE CONTEXT SETUP REQUEST message in the inter-gNB-DU mobility procedure for intra-NR? [3GPP Release 17],To query the latest configuration from the source gNB-DU.,To create a UE context and setup data bearers in the target gNB-DU.,To send a HandoverPreparationInformation to the gNB-CU.,To respond to the UE CONTEXT MODIFICATION RESPONSE message from the source gNB-DU.,option 2: To create a UE context and setup data bearers in the target gNB-DU.,The UE CONTEXT SETUP REQUEST message is used to create an UE context and setup one or more data bearers in the target gNB-DU.,Standards specifications,To inform the gNB-CU about the unsuccessfully transmitted downlink data to the UE.
"For operation with RTT-based propagation delay compensation, how can the UE be configured? [3GPP Release 17]",One CSI-RS for tracking and one PRS resource set with usage-PDC,One SRS resource set with usage-PDC and one PRS resource set with usage-PDC,One CSI-RS for tracking with higher layer parameter pdc-Info and one SRS resource set with usage-PDC,One PRS configuration of higher layer parameter nr-DL-PRS-PDC-ResourceSet and one SRS resource set with usage-PDC,option 1: One CSI-RS for tracking and one PRS resource set with usage-PDC,"For operation with RTT-based propagation delay compensation, the UE can be configured with one CSI-RS for tracking and one PRS resource set with usage-PDC.",Standards specifications,None of the above
What power saving gain range is observed for the power saving scheme with PDCCH skipping or 'go-to-sleep' signal? [3GPP Release 16],9% - 83%,2% - 15%,50% - 85%,1.4% - 11%,option 1: 9% - 83%,The power saving gain for the power saving scheme with PDCCH skipping or 'go-to-sleep' signal ranges from 9% to 83%.,Standards specifications,
How can an Evolved ProSe Remote UE get information about the PLMN to which a specific Evolved ProSe UE-to-Network Relay connects? [3GPP Release 17],Through provisioning of policies in the Evolved ProSe Remote UE and Evolved ProSe UE-to-Network Relay,Through signaling explicitly controlled by the 3GPP network,Through the pre-configuration of Relay UE discovery information in the Evolved ProSe Remote UE,Through preferences stored in the Evolved ProSe Remote UE related to relay UE selection criteria,option 5: Both option 1 and option 2,An Evolved ProSe Remote UE can receive information about the PLMN of a specific Relay UE through policies provisioned in the UE or signaling controlled by the 3GPP network.,Standards specifications,Both option 1 and option 2
What are the procedures for a Target UE’s privacy exception list? [3GPP Release 17],Provisioning and withdrawal,Provisioning and invocation,Invocation and user control,User control and withdrawal,option 1: Provisioning and withdrawal,The procedures for a Target UE’s privacy exception list are provisioning and withdrawal.,Standards specifications,Barring capability and invocation
Which mode is used for multi-TRP PDCCH transmission? [3GPP Release 18],PDCCH repetition,SFN based PDCCH transmission,Both 1 and 2,None of the above,option 3: Both 1 and 2,Both PDCCH repetition mode and SFN based PDCCH transmission mode are used for multi-TRP PDCCH transmission.,Standards specifications,
"In a shared UTRAN/GERAN network, what does a non-supporting UE do after reading the broadcast system information? [3GPP Release 17]",The UE sends an ATTACH REQUEST/ROUTEING AREA UPDATE/LOCATION AREA UPDATE message to the network,The UE decodes the shared network information and supplies the available core network operator PLMN-ids as candidates to the PLMN selection procedure,The UE performs network selection among available PLMNs,The UE reads the system information in the shared RAN,option 3: The UE performs network selection among available PLMNs,"After reading the broadcast system information, the non-supporting UE performs network selection among available PLMNs.",Standards specifications,The UE reads the system information in the shared GERAN
What is the purpose of multiple USIMs in a MUSIM UE? [3GPP Release 18],To provide security features,To host multiple applications,To access the IMS services,To improve system performance and user experiences,option 4: To improve system performance and user experiences,Multiple USIMs in a MUSIM UE are expected to improve system performance and user experiences.,Standards specifications,To store provisioning parameters
Which specification defines IMS support for 5GC? [3GPP Release 18],TS 23.040,TS 23.273,TS 23.502,TS 23.540,option 5: TS 23.228,IMS support for 5GC is defined in TS 23.228.,Standards specifications,TS 23.228
What is the purpose of the L2 latency reduction techniques for LTE work item? [3GPP Release 14],To increase the effectiveness of available scheduling tools,To improve the DL beamforming performance,To reduce the grant request delay in the UL,To reduce the end to end delay for connected UEs,option 4: To reduce the end to end delay for connected UEs,The purpose of the L2 latency reduction techniques for LTE work item is to reduce the end to end delay for connected UEs in an LTE system.,Standards specifications,None of the above
What does AS stand for in the context of PLMN selection? [3GPP Release 17],Administrative System,Authentication Server,Application Server,Access Server,option 4: Access Server,AS stands for Access Server in the context of PLMN selection.,Standards specifications,Availability System
What does the NEF do if the mapping information is stored in UDR? [3GPP Release 18],Determines the DNN,Determines the S-NSSAI,Subscribes to DNAI mapping information for this DNN and/or S-NSSAI,Notifies the DNAI(s) to the AF,option 3: Subscribes to DNAI mapping information for this DNN and/or S-NSSAI,"If the mapping information is stored in UDR, the NEF subscribes to DNAI mapping information for this DNN and/or S-NSSAI.",Standards specifications,
What does the Child IAB-DU Restricted Beam Indication MAC CE indicate to the IAB-node? [3GPP Release 17],Multiplexing mode of the IAB-node,Availability of RB resources for transmission,Indication of quasi co-location properties of an IAB-DU cell,Timing advance offset value for a serving cell,option 3: Indication of quasi co-location properties of an IAB-DU cell,The Child IAB-DU Restricted Beam Indication MAC CE provides a set of RS resource indexes that indicate quasi co-location properties of an IAB-DU cell to the IAB-node.,Standards specifications,
What is the purpose of the Nmfaf_3daDataManagement service? [3GPP Release 18],To configure the MFAF to map data or analytics received by the MFAF to out-bound notification endpoints,To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints,To supply data or analytics from the MFAF to notification endpoints,To fetch data or analytics from the MFAF based on fetch instructions,option 1: To configure the MFAF to map data or analytics received by the MFAF to out-bound notification endpoints,The Nmfaf_3daDataManagement service is used to configure or reconfigure the MFAF to map data or analytics received by the MFAF to out-bound notification endpoints.,Standards specifications,
Which entity is used as an SGSN for only some GTP signalling messages in a GLR-equipped VPLMN? [3GPP Release 17],Intermediate Mobile-services Switching Centre (IM-MSC),Gateway Location Register (GLR),Intermediate GPRS Serving Node (IM-GSN),GGSN - packet data networks,option 3: Intermediate GPRS Serving Node (IM-GSN),The Intermediate GPRS Serving Node (IM-GSN) is used as an SGSN for only some GTP signalling messages in a GLR-equipped VPLMN.,Standards specifications,CSCF/IBCF - Multimedia IP networks
What are the possible ordering criteria for the list of Network Performance information? [3GPP Release 18],Number of UEs,Communication performance,Mobility performance,Resource usage,option 1: Number of UEs,"The possible ordering criteria for the list of Network Performance information are number of UEs, communication performance, and mobility performance.",Standards specifications,Load information
"What should the UE do when receiving an RRC message on the BCCH, CCCH, PCCH, MCCH or a PC5 RRC message on SBCCH for which the abstract syntax is invalid? [3GPP Release 17]",Ignore the message,Treat the message as if the field were absent,Apply the generic error handling,Consider the 'parent' field to be set to a not comprehended value,option 1: Ignore the message,"When receiving an RRC message with invalid abstract syntax, the UE is instructed to ignore the message.",Standards specifications,
What is the purpose of providing suitable APIs to a trusted third-party in a 5G network? [3GPP Release 17],To allow the third-party to monitor the network slice used for the third-party,To allow the third-party to define and update the set of services and capabilities supported in a network slice used for the third-party,To configure the information which associates a UE to a network slice used for the third-party,To assign a UE to a network slice used for the third-party,option 2: To allow the third-party to define and update the set of services and capabilities supported in a network slice used for the third-party,Providing suitable APIs to a trusted third-party in a 5G network allows them to define and update the set of services and capabilities supported in a network slice used for the third-party.,Standards specifications,To expose broadcasting capabilities to trusted third-party broadcasters' management systems
What does the Evolved Packet System provide for interworking between fixed access and Evolved Packet Core? [3GPP Release 17],Common operational and management procedures,Authentication and authorization for WLAN terminals,Routing different PDN connections through different accesses,Support for offline charging for traffic routed via the Evolved Packet Core,option 1: Common operational and management procedures,The Evolved Packet System provides common operational and management procedures for interworking between fixed access and Evolved Packet Core in a converged network.,Standards specifications,Support for simultaneous access to PLMN services
Which entities can be the consumer of the Network Performance Analytics? [3GPP Release 18],PCF and NEF,NEF and AF,PCF and OAM,NEF and OAM,"option 5: PCF, NEF, and AF","The service consumer can be an NF (e.g. PCF, NEF, AF) or the OAM.",Standards specifications,"PCF, NEF, and AF"
"In Rel-17, how are user-plane resources over a 3GPP access established in supporting an MA PDU Session? [3GPP Release 17]",They are always established in the 5G core (5GC) network,They are established over a non-3GPP access connected to 5GC,They may be established in EPC connected to 5GC,They can only be established over NG-RAN access,option 3: They may be established in EPC connected to 5GC,"In Rel-17, user-plane resources over a 3GPP access may be established in EPC, allowing for simultaneous traffic over a 3GPP access connected to EPC and a non-3GPP access connected to 5GC.",Standards overview,
Which element can use the identifier of the MSC/SGSN to determine the operator selected by a supporting UE or the operator allocated to a UE? [3GPP Release 17],MSC/SGSN itself,Serving GW,GGSN/PDN GW,HSS,option 5: gsmSCF,The gsmSCF can use the identifier of the MSC/SGSN to determine the operator selected by a supporting UE or the operator allocated to a UE.,Standards specifications,gsmSCF
What is the purpose of the manufacturer-assigned ID in NAS signalling? [3GPP Release 18],To request UE capabilities,To assign UE capabilities dynamically,To reduce signalling overhead,To support non-contiguous carrier aggregation,option 5: To pre-provision a set of capabilities,The manufacturer-assigned ID corresponds to a pre-provisioned set of capabilities for the UE.,Standards specifications,To pre-provision a set of capabilities
Which mode of the NF/NF Service Context Transfer Procedures includes an endpoint address? [3GPP Release 18],Direct mode,Indirect mode,Push mode,Pull mode,option 2: Indirect mode,"In the indirect mode, a request or response from a Source NF/NF Service Instance to a Target NF/NF Service Instance contains an endpoint address from which the Target NF/NF Service Instance can retrieve the context.",Standards specifications,Context mode
